IdealT,OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.7333333,0.735294,0.766667,0.520838,0.778431,0.736318,0.805882,0.535294,0.714012,0.719608,0.590196,0.645098,0.762221,0.543137,0.778431,0.743137
0.8627451,0.696078,0.994118,0.520608,0.82549,0.697673,0.935294,0.641176,0.607959,0.629412,0.770588,0.931373,0.910992,0.417647,0.931373,0.668627
0.7215686,0.703922,0.821569,0.540058,0.75098,0.704627,0.754902,0.570588,0.680772,0.688235,0.570588,0.77451,0.795505,0.601961,0.809804,0.739216
0.3294118,0.790196,0.390196,0.411656,0.801961,0.790645,0.82549,0.594118,0.787142,0.484314,0.613725,0.601961,0.601961,0.801961,0.601961,0.696078
0.2745098,0.562745,0.739216,0.003922,0.641176,0.568128,0.696078,0.464706,0.520341,0.539216,0.378431,0.362745,0.3835,0.386275,0.390196,0.452941
0.4078431,0.562745,0.492157,0.452745,0.539216,0.563703,0.876471,0.562745,0.513119,0.535294,0.652941,0.680392,0.680172,0.656863,0.680392,0.731373
0.827451,0.535294,0.947059,0.322574,0.727451,0.535706,0.837255,0.566667,0.379437,0.44902,0.837255,0.962745,0.91715,0.135294,0.962745,0.558824
0.1764706,0.198039,0.205882,0.141045,0.201961,0.20342,0.201961,0.252941,0.202145,0.198039,0.24902,0.1,0.135254,0.198039,0.088235,0.194118
0.4862745,0.472549,0.488235,0.434411,0.5,0.556687,0.57451,0.362745,0.55995,0.468627,0.460784,0.503922,0.503816,0.347059,0.5,0.523529
0,0.201961,0.005882,0.005977,0.213725,0.21433,0.229412,0.590196,0.18704,0.194118,0.347059,0.62549,0.598049,0.245098,0.64902,0.205882
0.509804,0.668627,0.692157,0.585816,0.684314,0.667372,0.664706,0.664706,0.641371,0.652941,0.75098,0.845098,0.847641,0.472549,0.84902,0.821569
0.3921569,0.543137,0.77451,0.215434,0.664706,0.544569,0.676471,0.547059,0.464974,0.503922,0.562745,0.703922,0.711894,0.3,0.770588,0.468627
0.7568628,0.001961,0.727451,0.391909,0.786275,0.797924,0.801961,0.652941,0.796314,0.001961,0.676471,0.727451,0.727451,0.798039,0.727451,0.715686
0.7450981,0.531373,0.95098,0.351137,0.962745,0.838299,0.82549,0.75098,0.828465,0.472549,0.727451,0.747059,0.743343,0.178431,0.747059,0.747059
0.7176471,0.723529,0.805882,0.646663,0.778431,0.727724,0.770588,0.456863,0.716333,0.719608,0.590196,0.766667,0.764575,0.519608,0.766667,0.735294
0.4588235,0.503922,0.507843,0.248965,0.539216,0.505206,0.409804,0.535294,0.418793,0.460784,0.566667,0.582353,0.594294,0.37451,0.601961,0.621569
0.7019608,0.633333,0.719608,0.486087,0.680392,0.635193,0.641176,0.539216,0.613761,0.621569,0.523529,0.727451,0.72533,0.468627,0.739216,0.645098
0.1019608,0.111765,0.1,0.07012,0.119608,0.113582,0.115686,0.386275,0.112048,0.111765,0.194118,0.1,0.1,0.092157,0.1,0.119608
0.7137255,0.719608,0.668627,0.658384,0.719608,0.722331,0.723529,0.386275,0.721887,0.719608,0.594118,0.676471,0.675266,0.535294,0.676471,0.703922
0.3333333,0.503922,0.692157,0.003922,0.586275,0.503817,0.554902,0.507843,0.433946,0.468627,0.496078,0.594118,0.590002,0.162745,0.652941,0.44902
0.4352941,0.42549,0.535294,0.324599,0.507843,0.427297,0.468627,0.405882,0.382818,0.401961,0.460784,0.433333,0.431557,0.084314,0.433333,0.460784
0.9254902,0.598039,0.982353,0.425358,0.801961,0.597088,0.813725,0.62549,0.505081,0.547059,0.747059,0.927451,0.921743,0.209804,0.954902,0.558824
0.5803922,0.660784,0.852941,0.657882,0.664706,0.657882,0.664706,0.354902,0.659994,0.656863,0.488235,0.570588,0.570588,0.656863,0.570588,0.676471
0.4117647,0.511765,0.433333,0.344489,0.535294,0.516693,0.601961,0.394118,0.501149,0.503922,0.437255,0.468627,0.468188,0.429412,0.464706,0.531373
0.3019608,0.358824,0.280392,0.131724,0.37451,0.360149,0.323529,0.476471,0.286135,0.323529,0.401961,0.401961,0.405338,0.347059,0.413725,0.437255
0.5490196,0.77451,0.82549,0.841291,0.790196,0.774431,0.856863,0.413725,0.764654,0.766667,0.5,0.664706,0.62955,0.656863,0.594118,0.684314
0.7098039,0.739216,0.994118,0.611764,0.919608,0.741042,0.998039,0.543137,0.712245,0.723529,0.539216,0.543137,0.543137,0.245098,0.543137,0.543137
0.3490196,0.394118,0.339216,0.280122,0.413725,0.410659,0.413725,0.55098,0.40697,0.394118,0.358824,0.35098,0.35098,0.390196,0.35098,0.401961
0.3843137,0.476471,0.790196,0.105882,0.464706,0.485083,0.429412,0.605882,0.465594,0.468627,0.35098,0.44902,0.523526,0.44902,0.445098,0.535294
0,0.441176,0.005882,0.202347,0.527451,0.442746,0.245098,0.578431,0.231881,0.370588,0.543137,0.680392,0.711905,0.75098,0.758824,0.562745
0.5647059,0.5,0.711765,0.363609,0.617647,0.501925,0.641176,0.507843,0.433789,0.464706,0.570588,0.62549,0.623803,0.170588,0.629412,0.539216
0.6039216,0.629412,0.660784,0.372546,0.672549,0.630995,0.660784,0.507843,0.595777,0.609804,0.511765,0.7,0.675104,0.460784,0.507843,0.684314
0.6196079,0.566667,0.978431,0.470469,0.696078,0.571981,0.907843,0.617647,0.447739,0.503922,0.837255,0.876471,0.876471,0.194118,0.876471,0.903922
0.5294118,0.570588,0.719608,0.324611,0.656863,0.571881,0.652941,0.566667,0.519722,0.543137,0.609804,0.727451,0.71852,0.252941,0.739216,0.523529
0,0.272549,0.005882,0.019259,0.276471,0.277545,0.296078,0.562745,0.245857,0.260784,0.362745,0.539216,0.527961,0.323529,0.554902,0.292157
0.654902,0.747059,0.492157,0.956863,0.747059,0.742649,0.747059,0.417647,0.746147,0.747059,0.582353,0.547059,0.547058,0.75098,0.531373,0.735294
0.7607843,0.601961,0.911765,0.450853,0.798039,0.603772,0.856863,0.617647,0.477631,0.539216,0.7,0.813725,0.83986,0.42549,0.84902,0.609804
0.2039216,0.335294,0.233333,0.19837,0.343137,0.344115,0.370588,0.484314,0.340153,0.327451,0.362745,0.22549,0.233112,0.190196,0.221569,0.315686
0.3607843,0.284314,0.323529,0.183374,0.311765,0.284784,0.221569,0.609804,0.243243,0.264706,0.398039,0.390196,0.394377,0.417647,0.398039,0.37451
0.003921569,0.276471,0.013725,0.128408,0.241176,0.278091,0.519608,0.409804,0.179963,0.241176,0.378431,0.696078,0.696525,0.511765,0.719608,0.401961
0.6588235,0.519608,0.703922,0.31754,0.601961,0.520251,0.558824,0.523529,0.45559,0.484314,0.57451,0.703922,0.708683,0.256863,0.727451,0.519608
0.7215686,0.55098,0.994118,0.415341,0.884314,0.555894,0.845098,0.762745,0.364563,0.468627,0.75098,0.947059,0.938112,0.64902,0.962745,0.676471
0.3254902,0.586275,0.762745,0.003922,0.672549,0.594429,0.719608,0.44902,0.544022,0.562745,0.401961,0.386275,0.40524,0.378431,0.409804,0.484314
0.9568627,0.637255,0.994118,0.52439,0.75098,0.635627,0.633333,0.637255,0.56586,0.594118,0.601961,0.276471,0.276471,0.480392,0.276471,0.605882
0.8431373,0.503922,0.64902,0.327404,0.601961,0.505027,0.131373,0.566667,0.39547,0.445098,0.64902,0.845098,0.813506,0.096078,0.845098,0.703922
0.007843138,0.44902,0.021569,0.344288,0.045098,0.449052,0.44902,0.715686,0.266249,0.37451,0.696078,0.837255,0.853098,0.880392,0.860784,0.668627
0.5607843,0.747059,0.833333,0.825174,0.770588,0.747815,0.794118,0.362745,0.740557,0.743137,0.456863,0.370588,0.413309,0.601961,0.370588,0.633333
0.5686275,0.770588,0.856863,0.839411,0.790196,0.654916,0.829412,0.347059,0.762332,0.766667,0.468627,0.562745,0.562455,0.566667,0.562745,0.668627
0.5764706,0.586275,0.433333,0.407731,0.598039,0.596856,0.598039,0.362745,0.595604,0.578431,0.445098,0.42549,0.433165,0.594118,0.421569,0.582353
0.6196079,0.511765,0.311765,0.290196,0.511765,0.511519,0.523529,0.315686,0.509558,0.507843,0.378431,0.339216,0.342903,0.507843,0.327451,0.488235
0.8784314,0.786275,0.892157,0.681934,0.841176,0.788175,0.852941,0.445098,0.776433,0.778431,0.547059,0.880392,0.8687,0.590196,0.892157,0.747059
0.003921569,0.276471,0.013725,0.187639,0.201961,0.276897,0.539216,0.409804,0.177728,0.241176,0.405882,0.7,0.688306,0.523529,0.703922,0.42549
0.6470588,0.637255,0.594118,0.496497,0.652941,0.638349,0.645098,0.398039,0.630257,0.629412,0.507843,0.417647,0.634564,0.3,0.641176,0.696078
0.5294118,0.747059,0.821569,0.825673,0.762745,0.745197,0.856863,0.331373,0.735899,0.739216,0.44902,0.523529,0.523529,0.539216,0.523529,0.637255
0.2862745,0.35098,0.37451,0.234437,0.37451,0.354503,0.335294,0.641176,0.336378,0.339216,0.378431,0.382353,0.386549,0.284314,0.394118,0.378431
0,0.496078,0.005882,0.219339,0.664706,0.505516,0.786275,0.578431,0.262371,0.382353,0.562745,0.758824,0.780052,0.821569,0.837255,0.582353
0.2627451,0.539216,0.570588,0.630414,0.539216,0.538931,0.652941,0.543137,0.512142,0.523529,0.354902,0.413725,0.410049,0.468627,0.409804,0.382353
0.5294118,0.743137,0.837255,0.819754,0.762745,0.742537,0.872549,0.327451,0.734786,0.739216,0.441176,0.531373,0.534587,0.531373,0.535294,0.637255
0.2784314,0.386275,0.303922,0.250338,0.394118,0.392933,0.401961,0.594118,0.391929,0.382353,0.362745,0.288235,0.288076,0.401961,0.280392,0.362745
0.3372549,0.417647,0.390196,0.289325,0.456863,0.422715,0.55098,0.366667,0.391814,0.401961,0.394118,0.401961,0.401569,0.331373,0.398039,0.452941
0.6313726,0.609804,0.7,0.376329,0.676471,0.610769,0.601961,0.562745,0.512709,0.543137,0.558824,0.715686,0.734151,0.362745,0.743137,0.613725
0.6392157,0.672549,0.605882,0.672204,0.672549,0.672204,0.676471,0.417647,0.672033,0.672549,0.57451,0.539216,0.547058,0.539216,0.535294,0.664706
0.2588235,0.335294,0.347059,0.22343,0.347059,0.337107,0.358824,0.519608,0.333967,0.335294,0.366667,0.280392,0.280392,0.335294,0.280392,0.303922
0.2313726,0.562745,0.680392,0.054407,0.570588,0.356561,0.303922,0.562745,0.343528,0.547059,0.362745,0.488235,0.484489,0.323529,0.484314,0.421569
0,0.315686,0.005882,0.150126,0.394118,0.317623,0.519608,0.401961,0.1874,0.260784,0.390196,0.809804,0.790208,0.519608,0.829412,0.409804
0.5215687,0.547059,0.570588,0.280791,0.590196,0.548447,0.488235,0.547059,0.478312,0.503922,0.566667,0.621569,0.62807,0.398039,0.637255,0.633333
0.003921569,0.315686,0.013725,0.195614,0.394118,0.317548,0.57451,0.433333,0.192911,0.268627,0.429412,0.856863,0.735125,0.570588,0.892157,0.460784
0.5411765,0.601961,0.503922,0.462561,0.601961,0.607253,0.613725,0.398039,0.60691,0.598039,0.488235,0.492157,0.492157,0.609804,0.492157,0.558824
0.454902,0.539216,0.511765,0.490042,0.535294,0.540933,0.809804,0.539216,0.499782,0.519608,0.676471,0.711765,0.715427,0.656863,0.715686,0.715686
0.5058824,0.562745,0.692157,0.285493,0.641176,0.566703,0.688235,0.547059,0.513586,0.539216,0.590196,0.668627,0.673032,0.284314,0.692157,0.547059
0.3019608,0.578431,0.743137,0.003922,0.645098,0.578685,0.684314,0.539216,0.534905,0.55098,0.378431,0.358824,0.368332,0.319608,0.370588,0.468627
0.6196079,0.566667,0.727451,0.46837,0.719608,0.568572,0.805882,0.55098,0.504271,0.531373,0.633333,0.621569,0.621294,0.162745,0.621569,0.664706
0.007843138,0.343137,0.021569,0.215857,0.245098,0.343171,0.213725,0.590196,0.215253,0.296078,0.570588,0.841176,0.833337,0.684314,0.841176,0.558824
