IdealT,OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.4745098,0.476471,0.582353,0.285677,0.527451,0.478306,0.488235,0.480392,0.427721,0.452941,0.472549,0.57451,0.584964,0.35098,0.601961,0.511765
0.3882353,0.464706,0.590196,0.335396,0.55098,0.46609,0.480392,0.468627,0.411069,0.437255,0.527451,0.582353,0.57887,0.17451,0.582353,0.511765
0.6470588,0.62549,0.707843,0.554996,0.688235,0.626823,0.7,0.480392,0.608344,0.613725,0.601961,0.684314,0.683425,0.386275,0.684314,0.680392
0,0.22549,0.005882,0.222265,0.22549,0.222265,0.233333,0.590196,0.214512,0.217647,0.347059,0.62549,0.609812,0.237255,0.64902,0.217647
0.7372549,0.731373,0.770588,0.513155,0.778431,0.733211,0.82549,0.566667,0.713108,0.719608,0.609804,0.629412,0.629412,0.656863,0.629412,0.727451
0.4235294,0.503922,0.617647,0.234702,0.570588,0.507796,0.617647,0.519608,0.437837,0.468627,0.566667,0.617647,0.621934,0.245098,0.637255,0.554902
0.5686275,0.727451,0.876471,0.68851,0.876471,0.729305,0.947059,0.727451,0.70594,0.711765,0.782353,0.868627,0.865601,0.813725,0.868627,0.829412
0.1607843,0.507843,0.605882,0.630663,0.535294,0.508255,0.723529,0.507843,0.46784,0.488235,0.323529,0.35098,0.251629,0.201961,0.213725,0.331373
0.6078432,0.582353,0.664706,0.469404,0.62549,0.581202,0.598039,0.535294,0.561396,0.570588,0.562745,0.660784,0.667941,0.370588,0.676471,0.586275
0.01568628,0.452941,0.037255,0.307156,0.001961,0.455716,0.452941,0.817647,0.269415,0.37451,0.75098,0.876471,0.88763,0.903922,0.9,0.696078
0.7568628,0.719608,0.539216,0.546799,0.727451,0.724462,0.727451,0.378431,0.723648,0.719608,0.586275,0.594118,0.594118,0.719608,0.594118,0.7
0.6588235,0.598039,0.680392,0.379154,0.660784,0.599662,0.688235,0.507843,0.56046,0.57451,0.511765,0.676471,0.685766,0.386275,0.696078,0.601961
0.5764706,0.758824,0.986275,0.687917,0.892157,0.760748,0.962745,0.703922,0.735969,0.743137,0.743137,0.829412,0.863498,0.660784,0.868627,0.837255
0.1686275,0.198039,0.166667,0.15156,0.198039,0.203428,0.198039,0.496078,0.203193,0.198039,0.260784,0.284314,0.280392,0.343137,0.284314,0.190196
0.5450981,0.629412,0.715686,0.582791,0.680392,0.631227,0.856863,0.609804,0.602408,0.613725,0.727451,0.770588,0.770588,0.845098,0.770588,0.786275
0.7882353,0.621569,0.994118,0.440185,0.919608,0.621865,0.884314,0.652941,0.541471,0.57451,0.766667,0.998039,0.819457,0.119608,0.998039,0.535294
0.3372549,0.382353,0.707843,0.035294,0.37451,0.38346,0.335294,0.601961,0.367031,0.37451,0.366667,0.535294,0.411999,0.311765,0.370588,0.468627
0.2352941,0.292157,0.147059,0.221991,0.205882,0.503116,0.527451,0.394118,0.500747,0.268627,0.398039,0.390196,0.390196,0.515686,0.390196,0.441176
0.3098039,0.586275,0.472549,0.445203,0.719608,0.591362,0.57451,0.598039,0.526086,0.554902,0.633333,0.707843,0.724265,0.641176,0.731373,0.711765
0.3372549,0.605882,0.77451,0.003922,0.688235,0.607497,0.727451,0.445098,0.564334,0.582353,0.409804,0.378431,0.391542,0.260784,0.394118,0.5
0.4117647,0.692157,0.809804,0.801214,0.735294,0.692228,0.743137,0.3,0.677017,0.684314,0.386275,0.280392,0.435106,0.507843,0.441176,0.562745
0.654902,0.637255,0.656863,0.587763,0.672549,0.639143,0.735294,0.42549,0.633744,0.633333,0.543137,0.480392,0.6466,0.280392,0.64902,0.672549
0.3647059,0.370588,0.343137,0.17202,0.394118,0.372469,0.327451,0.503922,0.2849,0.335294,0.452941,0.472549,0.515729,0.543137,0.535294,0.476471
0.372549,0.398039,0.37451,0.164117,0.437255,0.398904,0.452941,0.476471,0.324004,0.362745,0.441176,0.44902,0.482995,0.480392,0.492157,0.480392
0.6,0.641176,0.394118,0.392157,0.645098,0.644326,0.652941,0.390196,0.642836,0.641176,0.484314,0.598039,0.601073,0.637255,0.605882,0.629412
0.6352941,0.601961,0.629412,0.523543,0.641176,0.607767,0.75098,0.472549,0.592419,0.598039,0.562745,0.64902,0.648227,0.456863,0.641176,0.676471
0.7411765,0.696078,0.856863,0.50967,0.801961,0.697726,0.731373,0.590196,0.617702,0.676471,0.629412,0.645098,0.831641,0.303922,0.852941,0.656863
0.6745098,0.543137,0.978431,0.344897,0.723529,0.542595,0.037255,0.684314,0.418074,0.480392,0.707843,0.907843,0.765964,0.170588,0.907843,0.633333
0.5529412,0.523529,0.523529,0.46864,0.543137,0.53875,0.613725,0.539216,0.50655,0.519608,0.641176,0.684314,0.684092,0.770588,0.684314,0.692157
0.772549,0.790196,0.696078,0.642105,0.790196,0.80091,0.82549,0.413725,0.800348,0.727451,0.629412,0.684314,0.684212,0.57451,0.680392,0.766667
0.7098039,0.570588,0.994118,0.357888,0.915686,0.569152,0.723529,0.723529,0.454624,0.511765,0.711765,0.719608,0.673262,0.084314,0.719608,0.621569
0.2470588,0.590196,0.919608,0.409526,0.939216,0.598164,0.919608,0.601961,0.501045,0.535294,0.707843,0.24902,0.24902,0.037255,0.24902,0.390196
0.6156863,0.798039,0.876471,0.415438,0.821569,0.703741,0.896078,0.37451,0.701603,0.794118,0.503922,0.594118,0.59387,0.664706,0.594118,0.715686
0.7882353,0.798039,0.7,0.559465,0.801961,0.803003,0.801961,0.5,0.802125,0.794118,0.62549,0.566667,0.566665,0.801961,0.547059,0.805882
0.5215687,0.743137,0.833333,0.83957,0.770588,0.742124,0.801961,0.343137,0.734653,0.739216,0.452941,0.5,0.5,0.621569,0.5,0.652941
0.6392157,0.633333,0.652941,0.585742,0.652941,0.643288,0.633333,0.645098,0.624492,0.633333,0.7,0.766667,0.7662,0.476471,0.766667,0.762745
0.145098,0.245098,0.252941,0.132053,0.272549,0.246526,0.201961,0.645098,0.199901,0.229412,0.370588,0.296078,0.301572,0.245098,0.303922,0.303922
0.05882353,0.382353,0.127451,0.31368,0.001961,0.383699,0.766667,0.664706,0.233918,0.319608,0.645098,0.856863,0.849058,0.754902,0.856863,0.641176
0.5921569,0.523529,0.62549,0.288323,0.594118,0.523089,0.55098,0.523529,0.402762,0.476471,0.57451,0.660784,0.675027,0.503922,0.684314,0.523529
0.3843137,0.398039,0.409804,0.293508,0.437255,0.39868,0.586275,0.386275,0.363082,0.378431,0.429412,0.437255,0.436386,0.24902,0.437255,0.476471
0.1137255,0.135294,0.135294,0.090106,0.147059,0.1365,0.135294,0.237255,0.129166,0.131373,0.233333,0.139216,0.149166,0.103922,0.15098,0.15098
0.1647059,0.252941,0.158824,0.128668,0.272549,0.261675,0.3,0.523529,0.249456,0.24902,0.362745,0.198039,0.196916,0.256863,0.182353,0.245098
0.4901961,0.582353,0.809804,0.250545,0.7,0.582599,0.731373,0.558824,0.516762,0.547059,0.554902,0.739216,0.712723,0.303922,0.770588,0.496078
0.8745098,0.586275,0.954902,0.424576,0.798039,0.598268,0.9,0.62549,0.492251,0.539216,0.75098,0.962745,0.936996,0.103922,0.962745,0.503922
0.2509804,0.331373,0.209804,0.236008,0.209804,0.332038,0.331373,0.472549,0.271718,0.307843,0.456863,0.468627,0.46827,0.558824,0.468627,0.480392
0.8823529,0.605882,0.962745,0.372773,0.770588,0.604908,0.888235,0.62549,0.51459,0.55098,0.735294,0.1,0.1,0.268627,0.1,0.503922
0,0.460784,0.005882,0.159062,0.468627,0.470172,0.507843,0.715686,0.453548,0.229412,0.370588,0.723529,0.715692,0.492157,0.727451,0.401961
0.2470588,0.331373,0.154902,0.06016,0.339216,0.333031,0.339216,0.472549,0.331485,0.327451,0.366667,0.237255,0.236026,0.323529,0.205882,0.315686
0.6431373,0.62549,0.696078,0.563927,0.676471,0.625573,0.668627,0.366667,0.616119,0.617647,0.515686,0.664706,0.659585,0.237255,0.664706,0.605882
0.4078431,0.42549,0.358824,0.356064,0.641176,0.640581,0.688235,0.456863,0.638398,0.401961,0.519608,0.527451,0.527451,0.515686,0.527451,0.578431
0.572549,0.684314,0.731373,0.516199,0.707843,0.686093,0.735294,0.378431,0.681278,0.676471,0.488235,0.590196,0.590196,0.566667,0.590196,0.660784
0,0.264706,0.005882,0.144359,0.135294,0.265893,0.186275,0.421569,0.172848,0.233333,0.401961,0.739216,0.735298,0.531373,0.743137,0.405882
0.6705883,0.613725,0.009804,0.22542,0.617647,0.616605,0.598039,0.437255,0.610771,0.605882,0.445098,0.754902,0.524443,0.601961,0.762745,0.601961
0.227451,0.3,0.319608,0.184212,0.323529,0.300922,0.276471,0.594118,0.280402,0.288235,0.370588,0.323529,0.33266,0.241176,0.339216,0.327451
0.3019608,0.637255,0.719608,0.751756,0.656863,0.636499,0.715686,0.629412,0.616718,0.62549,0.370588,0.323529,0.330993,0.280392,0.315686,0.507843
0.8117647,0.629412,0.994118,0.435278,0.931373,0.629698,0.817647,0.629412,0.553482,0.586275,0.719608,0.813725,0.743319,0.217647,0.813725,0.617647
0.2235294,0.252941,0.303922,0.203909,0.284314,0.251916,0.213725,0.590196,0.233949,0.245098,0.366667,0.307843,0.311184,0.127451,0.311765,0.307843
0.3411765,0.386275,0.347059,0.265167,0.429412,0.3916,0.366667,0.366667,0.347109,0.366667,0.405882,0.382353,0.382111,0.194118,0.378431,0.507843
0.4941176,0.562745,0.519608,0.233575,0.609804,0.570824,0.609804,0.523529,0.511662,0.535294,0.523529,0.562745,0.567488,0.42549,0.57451,0.637255
0.2039216,0.515686,0.660784,0.423083,0.57451,0.514811,0.594118,0.507843,0.465362,0.488235,0.354902,0.268627,0.287374,0.241176,0.268627,0.417647
0.7058824,0.762745,0.723529,0.626233,0.778431,0.770935,0.782353,0.386275,0.767167,0.758824,0.582353,0.692157,0.713505,0.739216,0.715686,0.758824
0.4392157,0.621569,0.656863,0.556668,0.637255,0.619937,0.903922,0.617647,0.584434,0.598039,0.727451,0.805882,0.805179,0.82549,0.805882,0.794118
0.3960784,0.523529,0.386275,0.320153,0.558824,0.532834,0.578431,0.378431,0.521032,0.519608,0.413725,0.405882,0.40566,0.331373,0.401961,0.5
0,0.394118,0.005882,0.270207,0.601961,0.395276,0.731373,0.535294,0.230698,0.323529,0.531373,0.633333,0.664271,0.723529,0.680392,0.582353
0.2196078,0.260784,0.292157,0.20913,0.288235,0.262534,0.370588,0.472549,0.246173,0.256863,0.366667,0.307843,0.310891,0.162745,0.311765,0.319608
0.7137255,0.041176,0.041176,0.340435,0.041176,0.721476,0.75098,0.609804,0.723878,0.041176,0.601961,0.668627,0.668627,0.735294,0.668627,0.62549
0.8862745,0.578431,0.990196,0.380278,0.743137,0.577612,0.535294,0.652941,0.467751,0.523529,0.64902,0.892157,0.814571,0.896078,0.892157,0.64902
0.2509804,0.3,0.272549,0.215249,0.319608,0.30561,0.366667,0.456863,0.288755,0.292157,0.366667,0.284314,0.284314,0.268627,0.284314,0.311765
0.4862745,0.445098,0.480392,0.270145,0.476471,0.445624,0.421569,0.445098,0.407743,0.42549,0.441176,0.519608,0.527309,0.362745,0.535294,0.5
0.5176471,0.456863,0.586275,0.368181,0.539216,0.458774,0.5,0.441176,0.430417,0.445098,0.5,0.594118,0.591548,0.217647,0.598039,0.44902
0.6039216,0.684314,0.723529,0.491751,0.77451,0.689317,0.84902,0.554902,0.631091,0.64902,0.613725,0.637255,0.63568,0.413725,0.613725,0.711765
0.6196079,0.62549,0.676471,0.393917,0.688235,0.6267,0.668627,0.55098,0.57528,0.598039,0.594118,0.664706,0.688029,0.378431,0.692157,0.684314
0.1372549,0.354902,0.178431,0.003922,0.362745,0.356611,0.37451,0.633333,0.312375,0.335294,0.358824,0.339216,0.335308,0.35098,0.315686,0.358824
0,0.194118,0.005882,0.632829,0.190196,0.19219,0.194118,0.562745,0.172308,0.186275,0.347059,0.586275,0.558839,0.22549,0.598039,0.201961
0.007843138,0.42549,0.672549,0.355824,0.417647,0.424869,0.856863,0.731373,0.257142,0.354902,0.707843,0.770588,0.780509,0.837255,0.786275,0.711765
0.5333334,0.613725,0.778431,0.465726,0.711765,0.614606,0.578431,0.613725,0.544034,0.57451,0.703922,0.786275,0.789652,0.323529,0.794118,0.731373
0.2392157,0.264706,0.229412,0.214294,0.268627,0.269518,0.272549,0.303922,0.268965,0.264706,0.303922,0.237255,0.237073,0.229412,0.237255,0.252941
0,0.327451,0.005882,0.194769,0.288235,0.331556,0.656863,0.5,0.204014,0.280392,0.476471,0.609804,0.569601,0.62549,0.62549,0.507843
0.5529412,0.570588,0.656863,0.423348,0.641176,0.575062,0.562745,0.55098,0.521835,0.543137,0.601961,0.672549,0.691498,0.511765,0.696078,0.672549
0.4039216,0.664706,0.845098,0.559909,0.864706,0.670347,0.896078,0.621569,0.603991,0.62549,0.680392,0.703922,0.710856,0.629412,0.711765,0.770588
0.3333333,0.57451,0.437255,0.458665,0.503922,0.576392,0.57451,0.57451,0.519854,0.543137,0.645098,0.786275,0.786312,0.668627,0.790196,0.707843
0.2235294,0.307843,0.339216,0.236721,0.339216,0.307692,0.288235,0.645098,0.288625,0.3,0.37451,0.366667,0.365503,0.190196,0.366667,0.362745
0.2862745,0.55098,0.743137,0.443591,0.711765,0.549549,0.547059,0.629412,0.484936,0.515686,0.633333,0.754902,0.752646,0.637255,0.754902,0.692157
0.2509804,0.323529,0.194118,0.215094,0.237255,0.325275,0.570588,0.413725,0.256401,0.296078,0.417647,0.401961,0.401961,0.531373,0.401961,0.44902
0.5019608,0.617647,0.727451,0.536352,0.703922,0.617953,0.617647,0.511765,0.590714,0.601961,0.613725,0.676471,0.674672,0.794118,0.676471,0.660784
0.4078431,0.535294,0.480392,0.406626,0.539216,0.538393,0.55098,0.3,0.53737,0.531373,0.413725,0.394118,0.394026,0.535294,0.386275,0.519608
0.5333334,0.703922,0.860784,0.645748,0.672549,0.703287,0.703922,0.703922,0.67838,0.688235,0.762745,0.864706,0.863822,0.782353,0.864706,0.809804
0.4980392,0.445098,0.558824,0.210967,0.511765,0.44536,0.445098,0.464706,0.351069,0.405882,0.531373,0.621569,0.653125,0.64902,0.676471,0.515686
0.5294118,0.594118,0.962745,0.330816,0.7,0.594152,0.911765,0.641176,0.424649,0.484314,0.723529,0.841176,0.805138,0.147059,0.841176,0.613725
0,0.558824,0.005882,0.284129,0.664706,0.559585,0.798039,0.527451,0.242076,0.5,0.582353,0.676471,0.711483,0.770588,0.723529,0.621569
0.1764706,0.456863,0.637255,0.227236,0.570588,0.458328,0.609804,0.531373,0.331706,0.401961,0.515686,0.586275,0.627244,0.492157,0.64902,0.507843
0.945098,0.680392,0.986275,0.52462,0.864706,0.682157,0.723529,0.645098,0.618968,0.637255,0.786275,0.943137,0.934413,0.429412,0.943137,0.598039
0.345098,0.390196,0.398039,0.195441,0.429412,0.394029,0.429412,0.484314,0.319918,0.358824,0.441176,0.44902,0.457714,0.245098,0.464706,0.476471
0.6313726,0.511765,0.692157,0.284566,0.621569,0.513608,0.605882,0.55098,0.39521,0.456863,0.590196,0.692157,0.726248,0.519608,0.743137,0.507843
0.5764706,0.62549,0.766667,0.434538,0.735294,0.624711,0.660784,0.613725,0.551844,0.57451,0.688235,0.731373,0.724923,0.335294,0.731373,0.696078
0.5215687,0.707843,0.845098,0.489195,0.766667,0.709622,0.794118,0.562745,0.678299,0.688235,0.562745,0.735294,0.75537,0.570588,0.77451,0.711765
0.4235294,0.433333,0.488235,0.182044,0.476471,0.435225,0.531373,0.460784,0.36941,0.401961,0.492157,0.535294,0.55275,0.386275,0.566667,0.515686
0,0.609804,0.95098,0.285111,0.77451,0.627328,0.892157,0.590196,0.312783,0.511765,0.590196,0.723529,0.788273,0.719608,0.829412,0.641176
0.4196078,0.507843,0.605882,0.223118,0.57451,0.511771,0.601961,0.515686,0.447333,0.472549,0.539216,0.605882,0.611398,0.245098,0.629412,0.539216
0.7411765,0.762745,0.754902,0.668362,0.790196,0.768484,0.821569,0.460784,0.760479,0.758824,0.609804,0.590196,0.589964,0.590196,0.566667,0.770588
0.3058824,0.586275,0.664706,0.678472,0.601961,0.585255,0.723529,0.586275,0.564855,0.57451,0.358824,0.488235,0.488535,0.398039,0.488235,0.460784
0.6235294,0.645098,0.739216,0.48881,0.703922,0.650002,0.703922,0.417647,0.630091,0.633333,0.492157,0.594118,0.60538,0.205882,0.613725,0.62549
0,0.198039,0.005882,0.003922,0.194118,0.198839,0.190196,0.5,0.179507,0.190196,0.339216,0.433333,0.425909,0.233333,0.44902,0.233333
0.7607843,0.743137,0.801961,0.556664,0.790196,0.744422,0.766667,0.507843,0.72402,0.731373,0.609804,0.794118,0.784145,0.566667,0.805882,0.735294
0.5843138,0.684314,0.284314,0.282353,0.692157,0.688687,0.692157,0.35098,0.683683,0.684314,0.492157,0.586275,0.574541,0.680392,0.586275,0.672549
0.6627451,0.782353,0.903922,0.717737,0.77451,0.780848,0.833333,0.468627,0.76845,0.77451,0.578431,0.911765,0.909579,0.645098,0.911765,0.860784
0.5843138,0.656863,0.492157,0.439184,0.668627,0.666953,0.684314,0.413725,0.665297,0.656863,0.496078,0.460784,0.472366,0.668627,0.460784,0.637255
